year,field,age_bucket,n_unweighted,n_weighted,employed_pct,unemployed_pct,nilf_pct
2009,Business,22-27 (young),2246,252510.0,93.19670508098689,2.1052631578947367,4.698031761118371
2010,Business,22-27 (young),2418,264725.0,90.43157994144867,3.37557843044669,6.192841628104637
2011,Business,22-27 (young),2449,282376.0,91.68626228857977,3.521191602685781,4.792546108734453
2012,Business,22-27 (young),2735,317622.0,90.38133378670243,3.3508384179937156,6.267827795303852
2013,Business,22-27 (young),2918,326216.0,92.03043382298846,2.455121759815582,5.514444417195969
2014,Business,22-27 (young),3133,357647.0,90.73919255578825,2.894753765584501,6.3660536786272495
2015,Business,22-27 (young),3295,384583.0,90.33290603068778,2.9954522170766777,6.671641752235538
2016,Business,22-27 (young),3628,420883.0,92.10445658294586,2.3213101978459574,5.574233219208189
2017,Business,22-27 (young),3600,420198.0,92.16155241100624,2.38601802007625,5.45242956891751
2018,Business,22-27 (young),3841,450863.0,92.2994346397908,2.52382652823585,5.176738831973349
2019,Business,22-27 (young),4048,463636.0,92.91836699479764,2.4849235175870725,4.596709487615285
2021,Business,22-27 (young),4254,500380.0,92.21151924537351,3.0702665973859866,4.718214157240498
2022,Business,22-27 (young),4736,541858.0,93.43093578022287,1.6517242524794318,4.917339967297705
2023,Business,22-27 (young),4960,586468.0,92.76414058397049,1.8101584400171877,5.425700976012331
2024,Business,22-27 (young),5019,589758.0,91.67455125661712,2.8257353015982827,5.499713441784596
2009,Business,28-34 (early career),4521,466506.0,89.8712985470712,1.280155024801396,8.848546428127397
2010,Business,28-34 (early career),4578,478120.0,89.81573663515435,1.9536936333974735,8.230569731448172
2011,Business,28-34 (early career),4465,499628.0,89.01762911606235,2.590327203439359,8.39204368049829
2012,Business,28-34 (early career),4466,508793.0,88.59889974901384,2.1010509185464423,9.300049332439714
2013,Business,28-34 (early career),4930,539874.0,89.56886236418127,2.27460481519762,8.156532820621107
2014,Business,28-34 (early career),5120,569830.0,89.97244792306478,1.7280592457399575,8.299492831195268
2015,Business,28-34 (early career),5840,643741.0,89.71107945586812,1.9149005578330416,8.374019986298837
2016,Business,28-34 (early career),6180,696499.0,90.80716555228364,1.2142156700871072,7.978618777629257
2017,Business,28-34 (early career),6735,724000.0,91.07872928176796,1.2935082872928176,7.627762430939226
2018,Business,28-34 (early career),7465,814592.0,90.51537456788184,1.4677286297925833,8.016896802325581
2019,Business,28-34 (early career),7840,863531.0,90.93732593271116,1.3411215115612525,7.721552555727588
2021,Business,28-34 (early career),8467,938948.0,90.06356049536289,1.572930556324738,8.363508948312367
2022,Business,28-34 (early career),9337,1014284.0,90.63122360206806,1.2256922124375422,8.143084185494398
2023,Business,28-34 (early career),9757,1049938.0,91.04928100516412,1.3847484327646014,7.565970562071284
2024,Business,28-34 (early career),10089,1119243.0,91.6503386664022,0.9831645138723226,7.366496819725475
2009,Business,35-50 (established),13328,1301157.0,88.1079685233988,1.5533867165914643,10.338644760009744
2010,Business,35-50 (established),13400,1325591.0,87.60507577374922,1.8642250890357583,10.530699137215024
2011,Business,35-50 (established),12683,1366428.0,87.99139069164274,1.985541865359902,10.023067442997363
2012,Business,35-50 (established),13102,1391434.0,88.2478795257267,1.913421693015982,9.838698781257321
2013,Business,35-50 (established),13382,1369905.0,88.23341764574916,1.5859493906511766,10.180632963599665
2014,Business,35-50 (established),13650,1436698.0,88.37438348212359,1.8145079898489453,9.811108528027463
2015,Business,35-50 (established),13846,1478704.0,88.68786450838031,1.4840698341250176,9.82806565749467
2016,Business,35-50 (established),14126,1527599.0,89.30668323296887,1.4159475097849632,9.277369257246175
2017,Business,35-50 (established),15031,1595945.0,89.04285548687454,1.2615722972909467,9.695572215834506
2018,Business,35-50 (established),15643,1647388.0,89.2909867013721,1.1620820353189412,9.546931263308947
2019,Business,35-50 (established),16236,1715016.0,89.71490644985236,1.4458757236084094,8.839217826539228
2021,Business,35-50 (established),17155,1890445.0,89.02353678631222,1.523397930116983,9.4530652835708
2022,Business,35-50 (established),18845,1936887.0,89.35224409064648,1.4463414747478816,9.201414434605633
2023,Business,35-50 (established),19557,2026655.0,90.38469793822826,1.33762283171038,8.277679230061358
